variation,month
-6.0,"February 2015"
14.5,"March 2015"
-12.3,"April 2015"
0.9,"May 2015"
0.4,"June 2015"
17.2,"July 2015"
-10.0,"August 2015"
-6.8,"September 2015"
13.2,"October 2015"
31.3,"November 2015"
22.1,"December 2015"
-3.3,"January 2016"
-1.9,"February 2016"
3.0,"March 2016"
4.6,"April 2016"
6.5,"May 2016"
39.0,"June 2016"
3.1,"July 2016"
-12.7,"August 2016"
4.7,"September 2016"
6.0,"October 2016"
12.9,"November 2016"
14.0,"December 2016"
10.3,"January 2017"
17.0,"February 2017"
6.1,"March 2017"
7.7,"April 2017"
54.6,"May 2017"
41.1,"June 2017"
-5.3,"July 2017"
51.3,"August 2017"
6.5,"September 2017"
31.7,"October 2017"
46.7,"November 2017"
99.0,"December 2017"
-13.7,"January 2018"
-30.1,"February 2018"
"March 2018"-2.7
"April 2018"-13.4
"May 2018"6.8
"June 2018"-19.7
"July 2018"4.2
"August 2018"-5.2
"September 2018"-1.3
"October 2018"-1.6
"November 2018"-15.4
"December 2018"-33.0
"January 2019"-0.6
"February 2019"0.4
"March 2019"6.9
"April 2019"30.2
"May 2019"40.5
"June 2019"29.8
"July 2019"14.6
"August 2019"-0.5
"September 2019"-7.6
"October 2019"-15.1
"November 2019"0.5
"December 2019"-13.5
"January 2020"14.3
"February 2020"16.4
"March 2020"-28.0
"April 2020"2.6
"May 2020"29.3
"June 2020"2.9
"July 2020"0.3
"August 2020"22.2
"September 2020"-8.2
"October 2020"10.4
"November 2020"39.6
"December 2020"31.9
"January 2021"59.6
"February 2021"32.5
"March 2021"18.8
"April 2021"4.8
"May 2021"-17.4
"June 2021"-23.8
"July 2021"-4.7
"August 2021"32.9
"September 2021"1.1
"October 2021"24.7
"November 2021"6.1
"December 2021"-18.5
"January 2022"-16.7
"February 2022"-1.8
"March 2022"3.1
"April 2022"-0.4
"May 2022"-23.4
"June 2022"-22.4
"July 2022"-13.6
"August 2022"5.0
"September 2022"-11.9
"October 2022"-1.0
"November 2022"-9.7
"December 2022"-4.2
"January 2023"18.1
"February 2023"16.3
"March 2023"7.2
"April 2023"15.4
"May 2023"-4.4
"June 2023"0.3
"July 2023"8.8
"August 2023"-7.1
"September 2023"-6.0
"October 2023"12.3
"November 2023"23.8
"December 2023"16.2
"January 2024"1.2
"February 2024"14.8
"March 2024"36.9
"April 2024"-1.7
"May 2024"-1.8
"June 2024"1.5
